"","lon","lat"
"1243",-80.1,26.6
"1244",-77,39.1
"1245",-122,38.3
"1246",-71.2,42.5
"1247",-105.2,40.4
"1248",-122.5,37.9
"1249",-76.7,39.4
"1250",-71.3,42.4
"1251",-111.7,40.2
"1253",-71.1,42.4
"1255",-79.9,32.7
"1256",-77,38.9
"1257",-102.3,31.9
"1258",-72.7,40.9
"1259",-79.8,36.1
"1261",-78.7,35.8
"1262",-79.3,37.9
"1263",-117.2,32.8
"1264",-93.3,45
"1265",-97.5,35.3
"1266",-83.7,42.6
"1267",-94.1,36.4
"1268",-112.4,33.5
"1269",-94.9,29.4
"1270",-71.2,42.4
"1271",-74,40.7
"1272",-87.7,41.9
"1273",-96.9,46.9
"1274",-97.5,30.3
"1275",-77.1,39.1
"1278",-85.9,39.9
"1283",-72.6,44.3
"1286",-78.7,35.9
"1288",-90.7,38.8
"1290",-76.8,38.8
"1291",-87.3,36.2
"1292",-80,42.1
"1293",-79.9,36.4
"1294",-97.2,32.8
"1295",-79.3,37.4
"1297",-83.7,42.3
"1298",-85.7,38.3
"1299",-74.4,40.9
"1300",-79.9,36
"1301",-86.3,32.1
"1302",-76.2,43
"1303",-111,45.7
"1304",-80.8,41.9
"1305",-75,39.9
"1306",-87,36.1
"1308",-97.5,35.3
"1311",-122.5,47.2
"1312",-81.2,28.5
"1313",-98.4,29.5
"1314",-77.5,43.1
"1315",-122.3,47.8
"1316",-78.7,35.8
"1320",-96,36.1
"1321",-75.3,39.9
"1322",-73.5,41.3
"1323",-122.1,37.9
"1325",-118.2,33.8
"1326",-78,39.5
"1327",-78.7,35.9
"1328",-77.5,43.1
"1329",-111,32.3
"1330",-84.5,38
"1331",-78.7,35.8
"1332",-79.5,36.1
"1333",-79.5,36.1
"1334",-77.4,38.9
"1335",-78.9,35.9
"1336",-78.7,35.8
"1337",-79.6,39.7
"1338",-80.1,36.3
"1339",-80.7,40
"1340",-79.8,35.7
"1341",-79.8,38.9
"1342",-71.7,42.8
"1343",-74,40.8
"1344",-79.8,32.9
"1345",-77.5,37.5
"1347",-116.3,33.7
"1348",-79.7,40.6
"1349",-78.5,38
"1350",-78.8,43
"1351",-78.6,35.8
"1352",-122.2,40.6
"1353",-84.3,36
"1354",-82.1,38.3
"1355",-78.9,36.1
"1356",-74,40.7
"1357",-71.3,42.4
"1358",-81.1,35.7
"1359",-87.2,30.4
"1360",-82.7,27.7
"1361",-77.8,34.3
"1362",-76.2,40
"1363",-76.5,36.2
"1364",-90,35.2
"1365",-123.3,44.5
"1366",-78.9,38.4
"1367",-82.8,27.9
"1368",-81.4,39.4
"1369",-80.7,35.1
"1370",-77.8,37.7
"1371",-81.5,35.9
"1372",-75.6,38.3
"1373",-83.8,39.9
"1374",-105,40.1
"1375",-82.5,28.5
"1376",-79.7,35.7
"1377",-92.5,44
"1378",-122.3,37.9
"1379",-78.9,36.1
"1380",-79.6,36
"1381",-80.6,37.3
"1382",-76.5,42.2
"1383",-80.4,35.3
"1384",-78.7,35.9
"1385",-93.6,42
"1386",-79,43
"1387",-123.1,40.8
"1388",-78.8,35.8
"1389",-82.8,34.6
"1390",-122.3,47.7
"1391",-81.6,40.9
"1392",-96.8,32.9
"1393",-79.1,33.4
"1394",-122.6,45.5
"1395",-93.7,41.6
"1397",-79.2,37.4
"1398",-80.3,36.1
"1399",-80.5,39
"1400",-90.7,42.5
"1401",-79.1,36.1
"1402",-75.2,38.4
"1403",-78.7,38
"1404",-77.4,38.9
"1405",-85.6,42.2
"1406",-78.9,36
"1407",-96.7,43.6
"1408",-92,37
"1409",-96.7,32.9
"1410",-80.1,26.9
"1411",-80.8,35
"1412",-78.7,35.9
"1413",-83.1,42.3
"1414",-121.7,38.5
"1415",-80.6,37.1
"1416",-78.9,42.6
"1417",-80.3,27.4
"1418",-90.1,46.5
"1419",-92.5,35
"1421",-81.5,28.6
"1422",-95.9,41.8
"1423",-117.2,33
"1426",-82.8,28
"1427",-87.3,46.5
"1428",-89.6,40.7
"1429",-117.2,32.7
"1430",-81.3,29
"1431",-91.8,38.1
"1432",-87.3,33.8
"1433",-74,40.7
"1434",-104.3,32.4
"1435",-117.8,33.7
"1436",-79.9,32.8
"1437",-78.7,35.9
"1438",-88.2,40.1
"1439",-75.4,39.9
"1441",-74.5,40.7
"1442",-84.1,33.9
"1443",-79.9,39.5
"1444",-78.8,35.9
"1445",-80.4,37.1
"1446",-80.7,34.9
"1448",-97,43.7
"1449",-85.6,38.2
"1450",-122.7,45.5
"1453",-93.1,36.1
"1454",-79.1,35.9
